,amfi_code,sharpe_rank,sortino_rank,cagr_rank,mdd_rank,score
0,100016,34.0,34.0,37.0,7.0,68.625
1,100025,37.0,37.0,36.0,37.0,82.49999999999999
2,100033,7.0,7.0,7.0,21.0,21.000000000000004
3,101206,10.0,11.0,12.0,32.0,32.75
4,101207,27.0,27.0,27.0,3.0,51.74999999999999
5,101208,40.0,40.0,32.0,38.0,83.25000000000001
6,102885,16.0,16.0,18.0,34.0,44.249999999999986
7,102886,33.0,33.0,40.0,6.0,69.375
8,102887,22.0,21.0,20.0,11.0,43.375
9,118632,8.0,8.0,11.0,18.0,24.0
10,118633,21.0,19.0,22.0,15.0,44.74999999999999
11,118634,23.0,23.0,21.0,9.0,45.00000000000001
12,118635,20.0,22.0,23.0,31.0,52.37499999999999
13,118636,36.0,36.0,35.0,35.0,79.875
14,119092,30.0,30.0,33.0,26.0,68.24999999999999
15,119093,28.0,28.0,28.0,10.0,56.25
16,119094,9.0,12.0,9.0,13.0,23.25
17,119095,32.0,32.0,39.0,2.0,66.0
18,119120,35.0,35.0,34.0,36.0,78.375
19,119551,5.0,4.0,10.0,24.0,21.624999999999996
20,119552,14.0,15.0,15.0,30.0,38.75
21,119598,13.0,9.0,2.0,5.0,16.0
22,119599,31.0,31.0,38.0,1.0,63.74999999999999
23,120503,17.0,18.0,17.0,27.0,42.5
24,120504,11.0,10.0,13.0,29.0,32.5
25,120505,4.0,5.0,1.0,16.0,11.749999999999998
26,120506,19.0,20.0,19.0,14.0,41.375
27,120507,38.0,38.0,29.0,40.0,79.5
28,120841,24.0,24.0,24.0,17.0,51.37500000000001
29,120842,29.0,29.0,31.0,8.0,58.874999999999986
30,120843,2.0,2.0,6.0,28.0,17.25
31,120844,39.0,39.0,30.0,39.0,81.0
32,125497,18.0,17.0,16.0,23.0,40.37500000000001
33,125498,26.0,26.0,26.0,12.0,53.25
34,148567,1.0,1.0,5.0,33.0,17.25
35,148568,15.0,14.0,14.0,22.0,35.125
36,148569,3.0,3.0,4.0,20.0,13.874999999999998
37,149322,25.0,25.0,25.0,25.0,56.25
38,149323,6.0,6.0,8.0,19.0,19.875
39,149324,12.0,13.0,3.0,4.0,17.75
